,date,hr,tickets
277,2022-07-12,13,94.24220183
278,2022-07-12,14,88.06238532
279,2022-07-12,15,80.33761468
280,2022-07-12,16,71.06788991
281,2022-07-12,17,60.25321101
282,2022-07-12,18,47.89357798
283,2022-07-12,19,35.53394495
284,2022-07-12,20,24.71926606
285,2022-07-12,21,15.44954128
286,2022-07-12,22,0
287,2022-07-12,23,0
288,2022-07-13,0,0
289,2022-07-13,1,0
290,2022-07-13,2,0
291,2022-07-13,3,0
292,2022-07-13,4,0
293,2022-07-13,5,0
294,2022-07-13,6,0
295,2022-07-13,7,0
296,2022-07-13,8,23.20733945
297,2022-07-13,9,42.31926606
298,2022-07-13,10,61.43119266
299,2022-07-13,11,76.44770642
300,2022-07-13,12,83.2733945
301,2022-07-13,13,83.2733945
302,2022-07-13,14,77.81284404
303,2022-07-13,15,70.98715596
304,2022-07-13,16,62.79633028
305,2022-07-13,17,53.24036697
306,2022-07-13,18,42.31926606
307,2022-07-13,19,31.39816514
308,2022-07-13,20,21.84220183
309,2022-07-13,21,13.65137615
310,2022-07-13,22,0
311,2022-07-13,23,0
312,2022-07-14,0,0
313,2022-07-14,1,0
314,2022-07-14,2,0
315,2022-07-14,3,0
316,2022-07-14,4,0
317,2022-07-14,5,0
318,2022-07-14,6,0
319,2022-07-14,7,0
320,2022-07-14,8,25.23486239
321,2022-07-14,9,46.01651376
322,2022-07-14,10,66.79816514
323,2022-07-14,11,83.1266055
324,2022-07-14,12,90.54862385
325,2022-07-14,13,90.54862385
326,2022-07-14,14,84.61100917
327,2022-07-14,15,77.18899083
328,2022-07-14,16,68.28256881
329,2022-07-14,17,57.89174312
330,2022-07-14,18,46.01651376
331,2022-07-14,19,34.1412844
332,2022-07-14,20,23.75045872
333,2022-07-14,21,14.8440367
334,2022-07-14,22,0
335,2022-07-14,23,0
336,2022-07-15,0,0
337,2022-07-15,1,0
338,2022-07-15,2,0
339,2022-07-15,3,0
340,2022-07-15,4,0
341,2022-07-15,5,0
342,2022-07-15,6,0
343,2022-07-15,7,0
344,2022-07-15,8,31.59816514
345,2022-07-15,9,57.62018349
346,2022-07-15,10,83.64220183
347,2022-07-15,11,104.0880734
348,2022-07-15,12,113.3816514
349,2022-07-15,13,113.3816514
350,2022-07-15,14,105.946789
351,2022-07-15,15,96.65321101
352,2022-07-15,16,85.50091743
353,2022-07-15,17,72.48990826
354,2022-07-15,18,57.62018349
355,2022-07-15,19,42.75045872
356,2022-07-15,20,29.73944954
357,2022-07-15,21,18.58715596
358,2022-07-15,22,0
359,2022-07-15,23,0
360,2022-07-16,0,0
361,2022-07-16,1,0
362,2022-07-16,2,0
363,2022-07-16,3,0
364,2022-07-16,4,0
365,2022-07-16,5,0
366,2022-07-16,6,0
367,2022-07-16,7,0
368,2022-07-16,8,45.01100917
369,2022-07-16,9,82.07889908
370,2022-07-16,10,119.146789
371,2022-07-16,11,148.2715596
372,2022-07-16,12,161.5100917
373,2022-07-16,13,161.5100917
374,2022-07-16,14,150.9192661
375,2022-07-16,15,137.6807339
376,2022-07-16,16,121.7944954
377,2022-07-16,17,103.2605505
378,2022-07-16,18,82.07889908
379,2022-07-16,19,60.89724771
380,2022-07-16,20,42.36330275
381,2022-07-16,21,26.47706422
382,2022-07-16,22,0
383,2022-07-16,23,0
384,2022-07-17,0,0
385,2022-07-17,1,0
386,2022-07-17,2,0
387,2022-07-17,3,0
388,2022-07-17,4,0
389,2022-07-17,5,0
390,2022-07-17,6,0
391,2022-07-17,7,0
392,2022-07-17,8,50.71926606
393,2022-07-17,9,92.48807339
394,2022-07-17,10,134.2568807
395,2022-07-17,11,167.0752294
396,2022-07-17,12,181.9926606
397,2022-07-17,13,181.9926606
398,2022-07-17,14,170.0587156
399,2022-07-17,15,155.1412844
400,2022-07-17,16,137.240367
401,2022-07-17,17,116.3559633
402,2022-07-17,18,92.48807339
403,2022-07-17,19,68.62018349
404,2022-07-17,20,47.73577982
405,2022-07-17,21,29.83486239
406,2022-07-17,22,0
407,2022-07-17,23,0
408,2022-07-18,0,0
409,2022-07-18,1,0
410,2022-07-18,2,0
411,2022-07-18,3,0
412,2022-07-18,4,0
413,2022-07-18,5,0
414,2022-07-18,6,0
415,2022-07-18,7,0
416,2022-07-18,8,40.61284404
417,2022-07-18,9,74.0587156
