dt_date,Parking
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,50
2022/7/10,12
2022/7/10,16
2022/7/10,18
2022/7/10,27
2022/7/10,32
2022/7/10,21
2022/7/10,17
2022/7/10,0
2022/7/10,12
2022/7/10,2
2022/7/10,13
2022/7/10,0
2022/7/10,20
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,39
2022/7/11,35
2022/7/11,30
2022/7/11,17
2022/7/11,41
2022/7/11,17
2022/7/11,25
2022/7/11,41
2022/7/11,38
2022/7/11,13
2022/7/11,20
2022/7/11,22
2022/7/11,35
2022/7/11,4
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,43
2022/7/12,46
2022/7/12,24
2022/7/12,32
2022/7/12,41
2022/7/12,33
2022/7/12,20
2022/7/12,27
2022/7/12,26
2022/7/12,34
2022/7/12,31
2022/7/12,22
2022/7/12,18
2022/7/12,6
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,47
2022/7/13,42
2022/7/13,24
2022/7/13,40
2022/7/13,34
2022/7/13,25
2022/7/13,31
2022/7/13,35
2022/7/13,44
2022/7/13,27
2022/7/13,29
2022/7/13,29
2022/7/13,23
2022/7/13,11
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,60
2022/7/14,4
2022/7/14,24
2022/7/14,23
2022/7/14,14
2022/7/14,35
2022/7/14,7
2022/7/14,31
2022/7/14,14
2022/7/14,7
2022/7/14,27
2022/7/14,19
2022/7/14,27
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,46
2022/7/15,40
2022/7/15,23
2022/7/15,27
2022/7/15,14
2022/7/15,21
2022/7/15,31
2022/7/15,54
2022/7/15,10
2022/7/15,34
2022/7/15,17
2022/7/15,46
2022/7/15,20
2022/7/15,8
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,63
2022/7/16,14
2022/7/16,27
2022/7/16,37
2022/7/16,17
2022/7/16,21
2022/7/16,6
2022/7/16,25
2022/7/16,35
2022/7/16,20
2022/7/16,16
2022/7/16,21
2022/7/16,21
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,26
2022/7/17,0
2022/7/17,11
2022/7/17,6
2022/7/17,12
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,54
2022/7/18,22
2022/7/18,10
2022/7/18,20
2022/7/18,31
2022/7/18,29
2022/7/18,8
2022/7/18,47
2022/7/18,43
2022/7/18,29
2022/7/18,28
2022/7/18,29
2022/7/18,23
2022/7/18,2
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,42
2022/7/19,14
2022/7/19,28
2022/7/19,21
2022/7/19,32
2022/7/19,16
2022/7/19,31
2022/7/19,35
2022/7/19,32
2022/7/19,26
2022/7/19,28
2022/7/19,38
2022/7/19,24
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,50
2022/7/20,25
2022/7/20,12
2022/7/20,17
2022/7/20,29
2022/7/20,27
2022/7/20,12
2022/7/20,42
2022/7/20,23
2022/7/20,23
2022/7/20,23
2022/7/20,21
2022/7/20,20
2022/7/20,4
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,41
2022/7/21,36
2022/7/21,20
2022/7/21,36
2022/7/21,31
2022/7/21,31
2022/7/21,0
2022/7/21,13
2022/7/21,36
2022/7/21,7
2022/7/21,28
2022/7/21,9
2022/7/21,24
2022/7/21,3
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,47
2022/7/22,40
2022/7/22,21
2022/7/22,25
2022/7/22,17
2022/7/22,28
2022/7/22,37
2022/7/22,30
2022/7/22,46
2022/7/22,21
2022/7/22,24
2022/7/22,26
2022/7/22,32
2022/7/22,5
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,31
2022/7/23,33
2022/7/23,10
2022/7/23,16
2022/7/23,27
2022/7/23,19
2022/7/23,0
2022/7/23,47
2022/7/23,34
2022/7/23,19
2022/7/23,23
2022/7/23,19
2022/7/23,15
2022/7/23,9
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,26
2022/7/24,13
2022/7/24,11
2022/7/24,5
2022/7/24,18
2022/7/24,13
2022/7/24,17
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,46
2022/7/25,50
2022/7/25,27
2022/7/25,33
2022/7/25,23
2022/7/25,38
2022/7/25,39
2022/7/25,31
2022/7/25,44
2022/7/25,24
2022/7/25,20
2022/7/25,34
2022/7/25,26
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,20
2022/7/26,63
2022/7/26,29
2022/7/26,23
2022/7/26,39
2022/7/26,12
2022/7/26,7
2022/7/26,11
2022/7/26,4
2022/7/26,14
2022/7/26,9
2022/7/26,22
2022/7/26,11
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,57
2022/7/27,21
2022/7/27,23
2022/7/27,21
2022/7/27,16
2022/7/27,3
2022/7/27,16
2022/7/27,36
2022/7/27,43
2022/7/27,25
2022/7/27,16
2022/7/27,19
2022/7/27,28
2022/7/27,7
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,50
2022/7/28,21
2022/7/28,21
2022/7/28,28
2022/7/28,36
2022/7/28,26
2022/7/28,2
2022/7/28,32
2022/7/28,23
2022/7/28,27
2022/7/28,9
2022/7/28,15
2022/7/28,20
2022/7/28,2
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,54
2022/7/29,35
2022/7/29,26
2022/7/29,26
2022/7/29,43
2022/7/29,28
2022/7/29,26
2022/7/29,0
2022/7/29,8
2022/7/29,0
2022/7/29,10
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,51
2022/7/30,16
2022/7/30,25
2022/7/30,21
2022/7/30,11
2022/7/30,0
2022/7/30,13
2022/7/30,50
2022/7/30,27
2022/7/30,32
2022/7/30,26
2022/7/30,23
2022/7/30,20
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,36
2022/7/31,22
2022/7/31,8
2022/7/31,17
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,21
2022/7/31,25
2022/7/31,37
2022/7/31,14
2022/7/31,13
2022/7/31,30
2022/7/31,4
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,31
2022/8/1,51
2022/8/1,16
2022/8/1,29
2022/8/1,37
2022/8/1,20
2022/8/1,18
2022/8/1,46
2022/8/1,27
