time,港濱軸帶,安平老街,國華海安商圈,孔廟文化園區,赤崁園區
2022/7/806:00:00PM,29,28.93,28.4,28.4,28.4
2022/7/807:00:00PM,28.8,28.93,28.8,28.8,28.8
2022/7/808:00:00PM,29,29.09,29.4,29.4,29.4
2022/7/809:00:00PM,29.1,29.51,29.5,29.5,29.5
2022/7/810:00:00PM,29.4,29.5,29.3,29.3,29.3
2022/7/811:00:00PM,29.2,29.31,29.2,29.2,29.2
2022/7/912:00:00AM,29,29.01,29.1,29.1,29.1
2022/7/901:00:00AM,28.7,28.93,28.5,28.5,28.5
2022/7/902:00:00AM,28.3,28.24,28,28,28
2022/7/903:00:00AM,28.2,28.16,27.8,27.8,27.8
2022/7/904:00:00AM,28.1,27.82,27.5,27.5,27.5
2022/7/905:00:00AM,28,27.69,27.9,27.9,27.9
2022/7/906:00:00AM,28.1,28.24,27.9,27.9,27.9
2022/7/907:00:00AM,30,30.1,28.2,28.2,28.2
2022/7/908:00:00AM,31.2,31.5,29.7,29.7,29.7
2022/7/909:00:00AM,31.8,31.4,31.1,31.1,31.1
2022/7/910:00:00AM,31.2,31.15,32.9,32.9,32.9
2022/7/911:00:00AM,31.9,31.3,32.1,32.1,32.1
2022/7/912:00:00PM,32.1,31.69,32.1,32.1,32.1
2022/7/901:00:00PM,32.1,31.59,32.6,32.6,32.6
2022/7/902:00:00PM,32.8,31.87,32.2,32.2,32.2
2022/7/903:00:00PM,32.4,31.85,32.2,32.2,32.2
2022/7/904:00:00PM,31.5,31.26,32.2,32.2,32.2
2022/7/905:00:00PM,31.9,30.99,31.7,31.7,31.7
2022/7/906:00:00PM,31,30.5,31.1,31.1,31.1
2022/7/907:00:00PM,30.2,30.09,30.6,30.6,30.6
2022/7/908:00:00PM,30,29.99,30.4,30.4,30.4
2022/7/909:00:00PM,30,30.02,30.3,30.3,30.3
2022/7/910:00:00PM,30,30.03,30.2,30.2,30.2
2022/7/911:00:00PM,29.7,29.81,30,30,30
2022/7/1012:00:00AM,29.6,29.57,29.7,29.7,29.7
2022/7/1001:00:00AM,29.3,29.5,29.4,29.4,29.4
2022/7/1002:00:00AM,29.4,29.6,29.5,29.5,29.5
2022/7/1003:00:00AM,29.4,29.49,29.2,29.2,29.2
2022/7/1004:00:00AM,28.7,29.01,28.7,28.7,28.7
2022/7/1005:00:00AM,28.3,28.6,28.5,28.5,28.5
